epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1753,0.90956,3.96184,0.98742,0,0,0,0,0.80676,3.91339,0.87376,3.75e-05,3.75e-05,3.75e-05
2,33.4919,0.69905,3.6958,0.89401,0.00197,0.25072,0.01744,0.0109,0.41465,3.85132,0.7838,8.57675e-05,8.57675e-05,8.57675e-05
3,48.4974,0.68107,3.12733,0.87322,0.00785,1,0.37454,0.30066,0.48461,3.60166,0.77454,0.000132055,0.000132055,0.000132055
4,63.1761,0.63041,2.37866,0.86356,0.00803,1,0.34924,0.28424,0.55401,3.40608,0.79647,0.000176362,0.000176362,0.000176362
5,77.9187,0.65011,2.16391,0.88222,0.00801,1,0.3976,0.32231,0.59927,3.33221,0.79999,0.00021869,0.00021869,0.00021869
6,92.437,0.65618,2.06705,0.8715,0.00793,1,0.43231,0.34936,0.53442,3.25714,0.7949,0.000259038,0.000259038,0.000259038
7,106.629,0.64159,1.73746,0.86293,0.00801,1,0.40846,0.29164,0.67034,3.26576,0.80065,0.000297405,0.000297405,0.000297405
8,120.903,0.57925,1.60168,0.83679,0.00805,1,0.47667,0.3752,0.6379,3.15387,0.8011,0.000333792,0.000333792,0.000333792
9,135.124,0.55589,1.56742,0.85496,0.41374,0.81896,0.51961,0.4381,0.49342,3.06855,0.79412,0.0003682,0.0003682,0.0003682
10,149.361,0.56628,1.45145,0.85392,0.82075,0.432,0.58949,0.50687,0.50837,3.05055,0.78252,0.000400628,0.000400628,0.000400628
11,164.031,0.53814,1.2469,0.84918,0.87819,0.44241,0.88158,0.73215,0.58205,2.99232,0.79238,0.000431075,0.000431075,0.000431075
12,178.94,0.56514,1.1762,0.84652,1,0.18662,0.995,0.87145,0.52918,2.94265,0.78497,0.000459543,0.000459543,0.000459543
13,193.816,0.50051,0.9893,0.82403,1,0.1898,0.989,0.90091,0.43734,2.86303,0.77021,0.00048603,0.00048603,0.00048603
14,208.775,0.56599,0.99047,0.84865,1,0.11885,0.989,0.89346,0.41212,2.8156,0.7643,0.000510537,0.000510537,0.000510537
15,224.028,0.52286,0.89405,0.84528,1,0.19494,0.995,0.89687,0.4711,2.58249,0.77658,0.000533065,0.000533065,0.000533065
16,238.82,0.50042,0.84896,0.83048,0.99475,0.65739,0.995,0.91423,0.42801,2.52317,0.77213,0.000553613,0.000553613,0.000553613
17,253.712,0.49739,0.81304,0.82209,1,0.41254,0.995,0.90822,0.44041,2.48737,0.7742,0.00057218,0.00057218,0.00057218
18,268.559,0.60448,0.88777,0.89894,1,0.43064,0.995,0.89756,0.48471,2.46296,0.79261,0.000588767,0.000588767,0.000588767
19,283.35,0.56753,0.81807,0.86059,0.98931,0.59965,0.995,0.90346,0.45745,2.32617,0.78699,0.000603375,0.000603375,0.000603375
20,298.185,0.5133,0.80365,0.85896,0.97509,0.83557,0.995,0.9089,0.44186,2.11561,0.78549,0.000616003,0.000616003,0.000616003
21,313.24,0.54843,0.80952,0.84385,0.9583,1,0.995,0.88806,0.50534,1.85826,0.80522,0.00062665,0.00062665,0.00062665
22,328.065,0.5047,0.79295,0.83555,0.96469,0.98542,0.995,0.92653,0.43103,1.76638,0.77311,0.000635318,0.000635318,0.000635318
23,342.872,0.49948,0.73714,0.82602,0.94971,0.99197,0.995,0.9146,0.44959,1.66512,0.77489,0.000642005,0.000642005,0.000642005
24,357.465,0.49144,0.77652,0.84304,0.94068,0.9879,0.995,0.90588,0.44376,1.5335,0.77559,0.000646713,0.000646713,0.000646713
25,372.194,0.47359,0.72989,0.83392,0.94549,0.98885,0.995,0.9173,0.44953,1.40534,0.76783,0.00064944,0.00064944,0.00064944
26,386.904,0.46714,0.7097,0.83952,0.96053,0.99152,0.995,0.9101,0.45204,1.21477,0.76342,0.00063125,0.00063125,0.00063125
27,401.873,0.44485,0.66543,0.83347,0.96917,1,0.995,0.9216,0.45134,1.03662,0.7729,0.0006065,0.0006065,0.0006065
28,416.849,0.45865,0.69801,0.83567,0.98165,1,0.995,0.92404,0.4267,0.98303,0.77488,0.00058175,0.00058175,0.00058175
29,431.779,0.47084,0.68333,0.85676,0.98306,0.99764,0.995,0.93664,0.39312,0.9802,0.76176,0.000557,0.000557,0.000557
30,446.638,0.433,0.65653,0.80335,0.97879,0.99483,0.995,0.92956,0.39622,1.00898,0.76078,0.00053225,0.00053225,0.00053225
31,461.323,0.42611,0.67452,0.84219,0.96743,0.99425,0.995,0.95081,0.35975,0.99062,0.75676,0.0005075,0.0005075,0.0005075
32,476.349,0.46044,0.67377,0.83581,0.96628,0.99429,0.995,0.94317,0.34232,0.94056,0.75765,0.00048275,0.00048275,0.00048275
33,491.112,0.41745,0.67541,0.83139,0.97529,0.99609,0.995,0.93783,0.35701,0.85383,0.76555,0.000458,0.000458,0.000458
34,506.351,0.44247,0.66512,0.82402,0.98419,0.99891,0.995,0.9233,0.3683,0.78217,0.7656,0.00043325,0.00043325,0.00043325
35,521.318,0.38884,0.60546,0.80253,0.99008,1,0.995,0.93197,0.35802,0.73724,0.76119,0.0004085,0.0004085,0.0004085
36,536.822,0.38489,0.62313,0.81638,0.99116,1,0.995,0.95173,0.34194,0.70385,0.759,0.00038375,0.00038375,0.00038375
37,551.746,0.40558,0.62848,0.84548,0.9909,1,0.995,0.94833,0.36644,0.69563,0.76501,0.000359,0.000359,0.000359
